nid;transaccion_tipo;digitalizacion_medir;digitalizacion_observacion;descargas_obligatorias;formulario_digital;turno_requerido;turno_digital;identificacion_digital;posee_notificaciones;notificaciones;pago_requerido_list;pago_electronico_list;resumen_nivel;relevamiento_observaciones;recomendacion;observacion_recomendacion;texto_servicio;cat1;cat2;cat3;cat4
52;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener certificado Buque, embarcación o artefacto naval;Certificado de prevención;;;
53;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
54;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
55;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Denunciar infracciones;Lealtad comercial;;;
56;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Denunciar infracciones;Defensa al consumidor;;;
57;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Transferencia de Tecnología;;;;
58;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar reclamo;Administrativo;Por mala atención de la prestadora ante un reclamo;;
59;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Transferencias;;;
60;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"60;72;73;75;97;1421;1429";;;;;
63;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;"en el subtítulo ""Como se hace"" el link de empresas que prestan servicios aparece el instructivo.";NINGUNA;;Obtener autorización de importación;Medicamentos;Importación de medicamentos de uso compasivo (uso no comercial);;
64;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Denunciar la venta de un arma;;;;
65;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Fondo Comun de Inversión;;;;
66;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Transferencias;;;
67;DENUNCIA;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Realizar reclamo por incumplimiento de Obra Social o Prepaga;Se niegan a afiliarte a vos o a un familiar a darte cobertura o lo hacen de modo irregular;;;
68;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Obtención y renovación de documentos;Cédula;;;
69;SIN INFORMACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener un prestamo de libros y/o materiales;Docentes, Bibliotecarios e Investigadores;Libros;;
70;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;El contenido es muy similar a la ley, no cuenta con un lenguaje simple para el ciudadano;NINGUNA;;Fondo Comun de Inversión;Obtener permiso para ofrecer un Fondo Común de Inversión Cerrado al público inversor ;;;
71;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Obtención y renovación de documentos;Patente;;;
72;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"60;72;73;75;97;1421;1429";;;;;
73;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"60;72;73;75;97;1421;1429";;;;;
74;SIN INFORMACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
75;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"60;72;73;75;97;1421;1429";;;;;
76;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Registros;;;
77;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;1;;NINGUNA;;Incribir pagares hipotecarios;;;;
78;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar reintegro compra productos nacionales;;;;
79;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Obtención y renovación de documentos;Pastente;;;
80;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Transferencias;;;
81;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Denunciar infracciones;Metrología Legal;;;
82;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;;NINGUNA;;Obtener permiso de tenencia;Repuestos principales;;;
83;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;De acuerdo a lo encontrado en la página web de Justicia (http://www.jus.gob.ar/mediacion/mediadores/capacitacion.aspx) existen capacitaciones con inscripción online, pero no las pude encontrar en su web.;NINGUNA;;;;;;
84;DOCUMENTACIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Solicitar certificado de inhibición;;;;
85;DOCUMENTACIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Autorizar entrada y salida de embarcación con destino a puertos extranjeros;;;;
86;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Inscripciones a Registros;RNCP;;;
87;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Solicitar informe de inmueble;titularidad de dominio - Informe 6;;;
88;CONSULTA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Obtener PASAPORTE;Seguir tramite PASAPORTE;;;Argentina
89;INSCRIPCIÓN;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;Turno online según jurisdicción;NINGUNA;;Solicitar prórroga de la residencia temporaria;Rentista;;;
90;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener permiso de ingreso;Trabajadores enmarcados en el Convenio Laboral Argentino-Chileno;;;
91;SOLICITUD;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;Si bien no requiere la presencia del ciudadano (porque existe la posibilidad de realizar el trámite por correo postal) el grado de digitalización es mínimo y deben imprimirse formularios y completar manualmente.;NINGUNA;;Obtener subsidio para Biblioteca Popular;Obtener subsidio;Gastos corrientes;;
93;CONSULTA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;;;;;
94;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;;;;;
95;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;;;;;
96;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;;NINGUNA;;Obtener permiso de tenencia;Armas de fuego;Por adquisición;;
97;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Asesoramiento por vía telefónica, presencial y/o correo electrónico.;JUNTAR;"60;72;73;75;97;1421;1429";;;;;
98;INSCRIPCIÓN;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;Turno online según jurisdicción;NINGUNA;;Obtener radicación;Trabajadores contratados Art. 23, Inc. A de la Ley 25.871;Residencia temporaria;;
99;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
100;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Presentar mandamiento / oficio judicial;Sobre medidas cautelares;;;
101;SOLICITUD;SI;;SI;NO;SI;SI;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Solicitar audiencia de conciliación obligatoria;;;;
102;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Solicitar inspecciones;Verificacion técnica en la especialidad;;;
103;SIN INFORMACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener un prestamo de libros y/o materiales;Instituciones Educativas;Videos/CD´S;;
104;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Visitar con guía;;;;
105;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar cancelación total o parcial de autorizaciones ;autorizaciones radioeléctricas para Sistemas Radioeléctricos no reglamentados que operan en frecuencias inferiores a 30 mhz.;;;
106;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;1;;NINGUNA;;Desafectar al régimen del bien de familia;;;;
107;SIN INFORMACIÓN;NO;x Error en página;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;SIN INFORMACIÓN;Error 500;ELIMINAR;;Gestionar establecimientos para frutas y hortalizas;;;;
109;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;Debería incluir el link de la inscripción;NINGUNA;;Inscripción en la carrera de Bibliotecario Nacional;;;;
111;INSCRIPCIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Solicitudes e Inscripciones;Estado del vehículo;;;
112;INSCRIPCIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Solicitudes e Inscripciones;Estado del vehículo;;;
113;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;"Links ""BAJAR IMPRIMIR"" y ""Declaración Jurada"" rotos. Por lo que no sabemos si el archivo que se baja es definitivamente apto para presentar";NINGUNA;;Habilitar establecimiento de salud ;Establecimiento farmaceútico;;Habilitar establecimiento farmaceútico;
114;DENUNCIA;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;;NINGUNA;;Realizar denuncias;Seguro por renta vitalicia;;;
115;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar asignación de Numeración ;Geográfica;;;
116;SOLICITUD;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;"La documentación puede enviarse por correo postal
El link del formulario de Tarjetas Prepagas no está disponible";NINGUNA;;Solicitar registro de Tarjeta Prepaga para Servicios de Telecomunicaciones (TPT);;;;
117;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Solicitar informe de inmueble;Inhibiciones / cesiones / derechos herditarios- Informe 2;;;
118;SOLICITUD;SI;;SI;NO;SI;SI;NO;NO;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Obtener asignación familiar;Por embarazo para madres en estado de vulnerbilidad;;;
119;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener permiso de tenencia;Chaleco antibalas;;;
120;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Solicitar autorización para modificar red radioeléctica;red radioeléctrica que opera en frecuencias inferiores a 30 MHz.;;;
121;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;"Las formas de reclamar son telefónicamente, fax, personalmente y correo. NINGUNA DIGITAL
Solo especifíca EDESUR Y EDENOR (en cuanto al reclamo previo al ENRE)";NINGUNA;;Realizar reclamo;Por medidor de electricidad;Por instalación de medidor;;
122;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;"Las formas de reclamar son telefónicamente, fax, personalmente y correo. NINGUNA DIGITAL
Solo especifíca EDESUR Y EDENOR (en cuanto al reclamo previo al ENRE)";NINGUNA;;Realizar reclamo;Administrativo;Por intereses y/o recargo por mora facturados;;
123;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;"Las formas de reclamar son telefónicamente, fax, personalmente y correo. NINGUNA DIGITAL
Solo especifíca EDESUR Y EDENOR (en cuanto al reclamo previo al ENRE)";NINGUNA;;Realizar reclamo;Por medidor de electricidad;Por mal estado;;
124;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener un prestamo de libros y/o materiales;Instituciones Educativas;Colección Pedagógica Itinerante;;
125;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;"Las formas de reclamar son telefónicamente, fax, personalmente y correo. NINGUNA DIGITAL
Solo especifíca EDESUR Y EDENOR (en cuanto al reclamo previo al ENRE)";NINGUNA;;Realizar reclamo;Servicio eléctrico;No se realiza el aumento/disminución de potencia solicitado;;
127;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Solicitar autorización para operar un Servicio Fijo de Alta Densidad (SFAD) y un Servicio Fijo de Transmisión de Datos y Valor Agregado (SFDVA);;;;
128;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Solicitar informe de inmueble;Indice de titularidad de dominio - Informe 3;;;
129;DOCUMENTACIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;;NINGUNA;;Obtener permiso de tenencia;Credenciales;Duplicado;Individual;
130;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Registrar el cambio de domicilio de usuario individual de arma de fuego ;;;;
131;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
133;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;El ciudadano debe presentarse 2 veces, en caso de presentación de documentación y retiro del Certificado o 3 veces en caso de presentación de documentación, observación de la misma documentación y retiro. ;NINGUNA;;Obtener autorización para libre circulación;Alimentos;Libre circulación de productos alimenticios;;
134;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;2;"No se puede descargar el archivo ""Cambio de designación comercial""";NINGUNA;;Agencias de viaje y turismo;Actualizaciones y modificaciones;;;
135;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;NO;2;;NINGUNA;;Obtener el certificado de Operador de Telecomunicaciones;;;;
136;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;2;;NINGUNA;;Actualizar Registro Nacional de Prestadores de Servicios Postales - RNPSP;Inscribirse;;;
